page,module,data_object,field_name,field_type,field_meaning_cn,example_value,source_type,future_api_field
Consumer Insights,Raw,ConsumerSegmentRow,count,number,分群人数,1850,raw,count
Consumer Insights,Raw,ConsumerSegmentRow,avgSpend,string,客单价,$3,250,raw,avgSpend
Consumer Insights,Raw,ConsumerDecisionFunnelStage,stage,string,漏斗阶段,Awareness,raw,stage
Consumer Insights,Raw,ConsumerDecisionFunnelStage,value,number,阶段人数,10000,raw,value
Consumer Insights,Raw,ConsumerDecisionFunnelStage,conversion,number,保留率,100,raw,conversion
Consumer Insights,Raw,ConsumerDriverRow,factor,string,评论因子,Performance,raw,factor
Consumer Insights,Raw,ConsumerDriverRow,mentions,number,提及量,4850,raw,mentions
Consumer Insights,Raw,ConsumerDriverRow,sentiment,number,情感分,95,raw,sentiment
Consumer Insights,Raw,ConsumerChannelRow,name,string,渠道名,JD.com,raw,name
Consumer Insights,Raw,ConsumerChannelRow,value,number,渠道份额,42.5,raw,value
Consumer Insights,Raw,ConsumerReplacementCycleRow,years,string,换机周期,2-3 years,raw,years
Consumer Insights,Raw,ConsumerReplacementCycleRow,percentage,number,占比,35.8,raw,percentage
Market Dynamics,Filter,MarketDynamicsFilters,selectedBrand,string,选中品牌,All,filter,selectedBrand
Market Dynamics,Filter,MarketDynamicsFilters,startYear,string,开始年份,2024,filter,startYear
Market Dynamics,Filter,MarketDynamicsFilters,startMonth,string,开始月份,10,filter,startMonth
Market Dynamics,Filter,MarketDynamicsFilters,endYear,string,结束年份,2026,filter,endYear
Market Dynamics,Filter,MarketDynamicsFilters,endMonth,string,结束月份,12,filter,endMonth
Market Dynamics,Raw,MarketTimelineEvent,brand,string,事件品牌,Dell,raw,brand
Market Dynamics,Raw,MarketTimelineEvent,product,string,事件名称,XPS 13,raw,product
Market Dynamics,Raw,MarketTimelineEvent,monthOffset,number,相对月份偏移,-3,raw,monthOffset
Market Dynamics,Raw,MarketTimelineEvent,type,string,事件类型,product,raw,type
Market Dynamics,Raw,SupplyCategory,name,string,物料类别,CPU / Processors,raw,name
Market Dynamics,Raw,SupplyCategory,past3m,string,近三个月变化,+2.5%,raw,past3m
Market Dynamics,Raw,SupplyCategory,future3m,string,未来三个月预测,+1.0%,raw,future3m
Market Dynamics,Raw,SupplyCategory,trend,string,趋势,Rising,raw,trend
